K,Trajectory,Method,Metric,Value
50,1,Reference,Lyapunov Exponent,-0.925358
50,1,Baseline,Correlation Dimension,2.096910
50,1,Baseline,Approximate Entropy,0.014114
50,1,Baseline,Lyapunov Exponent,-0.936934
50,1,ANI-2,Correlation Dimension,2.096910
50,1,ANI-2,Approximate Entropy,0.014972
50,1,ANI-2,Lyapunov Exponent,-0.930126
50,1,ANI-4,Correlation Dimension,2.096910
50,1,ANI-4,Approximate Entropy,0.014972
50,1,ANI-4,Lyapunov Exponent,-0.923749
60,1,Reference,Correlation Dimension,3.765818
60,1,Reference,Approximate Entropy,0.010546
60,1,Reference,Lyapunov Exponent,-0.651494
60,1,Baseline,Correlation Dimension,2.898425
60,1,Baseline,Approximate Entropy,0.010546
60,1,Baseline,Lyapunov Exponent,-0.682334
60,1,ANI-2,Correlation Dimension,3.801515
60,1,ANI-2,Approximate Entropy,0.010546
60,1,ANI-2,Lyapunov Exponent,-0.682847
60,1,ANI-4,Correlation Dimension,3.765818
60,1,ANI-4,Approximate Entropy,0.010546
60,1,ANI-4,Lyapunov Exponent,-0.651493
70,1,Reference,Correlation Dimension,2.197181
70,1,Reference,Approximate Entropy,0.012778
